From Date,Unnamed: 0,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,RH,WS,WD,SR,BP,AT,TOT-RF,AQI
2022-05-05,46991.5,21.423684210526314,98.1831182795699,76.70851063829788,7.9401063829787235,84.64308510638298,28.454787234042552,9.286195652173914,0.08120879120879121,40.247692307692304,0.9440425531914893,,4.766914893617021,3.29,74.90655913978495,1.8720430107526882,238.92634408602152,363.2932653061224,,28.242473118279573,0.0,90.99680555555555
2022-05-06,49967.5,17.741770833333334,83.6341489361702,104.82125,5.000163934426229,107.16760416666666,13.331770833333332,12.17744680851064,0.10606382978723405,40.196666666666665,1.2388541666666668,,5.737604166666667,2.6861458333333332,73.66694736842105,1.6585263157894736,258.68694736842104,388.37235294117653,,28.52926315789474,0.0,80.38572916666666
2022-05-07,52847.5,8.288,43.85875,101.52505263157894,1.7251428571428573,101.09168421052631,7.0758947368421055,17.904835164835163,0.2468131868131868,40.45022222222222,1.2925263157894737,,5.369578947368421,1.3049473684210526,99.9,2.6046236559139784,224.27344086021506,37.983061224489795,998.1243478260869,22.927419354838708,0.0,39.90723958333333
2022-05-08,55823.5,55.6128,700.6454285714286,34.43042105263158,7.521263157894737,33.46263157894737,2.3611702127659573,50.54893617021277,0.19494623655913978,41.32902173913043,11.047173913043478,,4.11778947368421,10.988315789473683,92.95925531914894,1.0096808510638298,183.50531914893617,193.71520833333332,998.943432835821,26.594787234042553,0.0,215.32007736098686
2022-05-09,58799.5,18.753513513513514,28.707042253521127,45.270106382978724,7.247765957446808,44.02787234042553,8.34223404255319,12.486304347826087,0.1572826086956522,36.097692307692306,0.8590526315789474,,2.3782105263157893,1.489684210526316,85.2258510638298,1.6659574468085105,241.6437234042553,336.0181632653061,1005.6018085106384,28.142340425531916,0.0,38.84902777777778
2022-05-10,61679.5,20.847619047619048,24.68810810810811,14.325851063829788,14.523191489361702,28.849042553191488,7.9981914893617025,12.563666666666666,0.11602272727272728,45.03701149425287,0.8517021276595745,,1.1754255319148936,1.042659574468085,90.23771739130436,1.535,235.6039130434783,155.04711111111112,1006.0306521739132,41.13836956521739,0.0,44.09809895833334
2022-05-11,64655.5,56.505094339622644,78.5951923076923,23.483518518518515,57.21888888888889,80.70685185185185,16.362962962962964,12.595849056603774,0.5444230769230769,75.2625,1.337962962962963,,3.392777777777778,0.9962962962962963,49.79240740740741,5.514814814814815,102.8711111111111,338.2134482758621,1011.0975925925925,44.13648148148148,0.0,62.14274305555556
2022-05-12,67535.5,65.32125,319.8438709677419,33.867340425531914,70.49095744680851,104.35723404255319,34.098510638297874,12.5975,1.1993406593406593,53.71311111111111,2.7316842105263155,,4.566421052631579,1.122,75.20387096774193,1.2550537634408603,161.8358064516129,218.095,1009.1324731182797,27.696881720430106,0.0,268.325234375
2022-05-13,47759.5,29.907263157894736,144.11141304347825,94.47095744680851,5.261914893617021,99.73446808510639,11.945425531914893,9.885434782608696,0.1076923076923077,40.135604395604396,0.9482978723404255,,2.5202127659574467,1.265,74.3105376344086,1.4300000000000002,241.12182795698928,328.92285714285714,,28.535698924731186,0.0,125.38881944444444
2022-05-14,47855.5,43.002604166666664,154.16521276595745,102.83840425531915,4.1546067415730334,106.70574468085107,11.438617021276595,10.342150537634408,0.14,40.23619565217391,1.0005263157894737,,2.6877894736842105,2.1322105263157893,73.40702127659574,1.3435106382978723,238.02117021276598,355.2932,,28.491914893617018,0.0,134.6707986111111
